mn_type,mn_id,nerve,subsystem,thorax,side,joint,dof,actuator_name,sign,action,gain,bias,confidence,notes
MNad27_AbN3_R,12314,AbN3,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN3, side=R"
MNad28_AbN1_L,15523,AbN1,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN1, side=L"
MNad28_AbN1_R,17160,AbN1,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN1, side=R"
MNad29_AbN1_L,153281,AbN1,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN1, side=L"
MNad29_AbN1_R,17688,AbN1,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN1, side=R"
MNad30_AbN2_L,16068,AbN2,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN2, side=L"
MNad30_AbN2_R,20446,AbN2,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN2, side=R"
MNad31_AbN2_L,15561,AbN2,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN2, side=L"
MNad31_AbN2_R,15215,AbN2,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN2, side=R"
MNad32_AbN2_L,14461,AbN2,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN2, side=L"
MNad32_AbN2_R,17500,AbN2,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN2, side=R"
MNad33_AbN2_L,15801,AbN2,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN2, side=L"
MNad33_AbN2_R,14341,AbN2,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN2, side=R"
MNad34_AbN2_L,10787,AbN2,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN2, side=L"
MNad34_AbN2_R,14095,AbN2,abdomen,Ab,right,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN2, side=R"
MNad35_AbN2_L,12756,AbN2,abdomen,Ab,left,abdomen,main,abdomen,,,1.0,0.0,strong,"auto by subsystem=abdomen, nerve=AbN2, side=L"
